127.0.0.1 - - [12/Jan/2023:09:21:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jan/2023:09:21:19 +0530] "GET /MySpringApp/ HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [12/Jan/2023:09:21:23 +0530] "GET /MySpringApp/employees HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [12/Jan/2023:09:21:25 +0530] "GET /MySpringApp/colleges HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [12/Jan/2023:09:21:27 +0530] "GET /MySpringApp/students HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [12/Jan/2023:09:50:09 +0530] "GET /MySpringApp/employees HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:10:33 +0530] "GET /MySpringApp/employees HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:11:01 +0530] "GET /MySpringApp/employees HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:14:06 +0530] "GET /MySpringApp/employees HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:21:20 +0530] "GET /MySpringApp/employees HTTP/1.1" 500 4510
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:22:23 +0530] "GET /MySpringApp/employees HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:38:26 +0530] "GET /MySpringApp/colleges HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:45:16 +0530] "GET /MySpringApp/students HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:45:20 +0530] "GET /MySpringApp/employees HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:45:23 +0530] "GET /MySpringApp/colleges HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [12/Jan/2023:10:45:26 +0530] "GET /MySpringApp/students HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Jan/2023:11:29:08 +0530] "GET /MySpringApp/employees HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [12/Jan/2023:11:29:48 +0530] "GET /MySpringApp/colleges HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [12/Jan/2023:11:30:19 +0530] "GET /MySpringApp/students HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Jan/2023:11:43:47 +0530] "GET /MySpringApp/colleges HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [12/Jan/2023:11:50:23 +0530] "GET /MySpringApp/students HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [12/Jan/2023:12:48:50 +0530] "GET /MySpringApp/employees HTTP/1.1" 200 534
